Total Medical Expenses,Medical Multiplier,Income Lost,Income Multiplier,Value of Injury Claim
20186,4.72,28646.5768,2.94,236792.00939199998
18006,4.27,30474.622779999994,2.22,205488.52813159997
23892,2.34,14289.91434,2.14,115067.5253676
27389,1.71,10947.349889999998,1.84,88873.0135776
10580,3.06,24405.4584,2.09,132193.12485599998
29478,2.68,7839.92728,2.14,111458.33893920001
21740,3.24,21407.3604,2.48,166342.57459200002
28537,3.31,20657.471680000002,2.05,178120.230304
5690,2.61,17508.08358,1.77,80856.3750966
3650,3.86,23063.202780000003,1.67,98730.95420260001
21516,1.85,15083.17395,2.93,114164.6475735
12208,4.5,22824.9945,2.18,150344.47701
14294,4.57,34442.88352,2.89,233749.28041280003
22262,3.68,39156.74192,2.79,269484.9537968
13789,4.99,21586.54539,2.96,175876.3751344
11429,1.88,13692.092639999999,1.51,69545.7651664
12746,3.81,15768.17268,2.16,114157.85834880001
9277,4.67,13958.70005,1.95,98460.45519749999
1757,1.99,12227.77589,2.93,63779.365137700006
19186,1.57,9435.941780000001,2.28,70507.85081840001
5846,1.95,11893.01685,2.04,59447.488074
8712,4.65,27033.36555,2.95,174325.9594725
11871,1.63,3203.484639999999,1.58,30818.205011199996
28566,4.31,23552.214809999998,2.14,220625.62931340002
26830,4.31,41787.781709999996,1.67,268998.4588757
12092,2.36,13219.36536,2.35,86041.35931599999
14641,3.69,14387.003729999999,2.46,118191.32663579998
23998,4.9,34224.8732,1.89,250724.95674800003
23947,2.73,18068.16375,2.6,148488.86325
25344,3.57,18295.62525,2.52,173174.30613
5679,4.1,19790.1875,1.8,98486.6125
22980,4.82,42833.02158000001,2.63,309080.48991540004
21794,3.3,7953.742499999999,2.14,104848.69395
27990,3.09,21822.7542,2.07,175307.70959399999
9614,4.3,14197.6153,1.62,92735.567386
6423,2.41,17556.968090000002,1.52,77279.95767680001
20922,3.53,28755.07289,2.44,201527.18363159997
20897,2.8,21169.161999999997,2.13,145940.23906
18892,3.07,13472.58755,2.47,118220.9063485
24526,3.33,12796.727130000001,2.64,141048.3938832
15481,1.8,7624.4652,2.16,59583.575231999996
19481,2.18,23804.564500000004,1.84,133878.10768000002
14824,4.61,33725.20182,1.55,188063.10646100002
16816,4.53,32206.81416,1.71,195663.7605336
23442,3.28,7780.442079999999,2.57,112446.38030559999
23836,2.96,14870.622639999998,1.95,129293.519428
8188,2.75,14383.06925,2.01,80193.1076925
21022,4.36,34529.89200000001,1.65,217690.02580000003
25028,2.96,19378.46584,2.86,168262.2239824
29866,3.74,30424.09964,2.26,241305.50446640002
10236,3.65,30522.1614,2.2,165554.47788
27617,3.03,8453.6091,1.96,117155.802036
15366,4.21,29546.04523,2.45,196170.76127350001
15704,3.37,21375.15849,2.68,152958.22173320001
12216,2.01,14641.205820000001,1.77,79751.5059414
10625,4.44,18440.159160000003,2.37,127758.49552920002
20744,1.8,15218.641799999998,2.36,103692.478248
16012,2.0,23311.258,1.87,122238.56846000001
15806,3.89,20655.38263,2.01,144313.42434630002
12452,4.0,25894.936,2.07,155200.38952
13885,3.13,19316.89829,2.08,122272.9950232
8210,2.85,10191.9876,1.52,59274.296352000005
14978,3.24,16878.132,2.32,121442.25024
26335,2.88,28585.031039999998,1.62,179322.6123648
18949,3.41,17785.3665,1.86,133267.60469
11724,4.85,34737.87765,1.95,194076.0167175
25654,3.85,25422.959100000004,2.57,214950.82308700003
12719,4.34,29139.814619999997,2.99,200608.1349538
5984,3.71,33629.71423,2.4,170171.382612
15116,2.04,8708.69268,2.77,72377.1040836
