Total Medical Expenses,Medical Multiplier,Income Lost,Income Multiplier,Value of Injury Claim
9748,4.64,20603.09872,2.16,130939.6106752
25889,2.21,11851.89408,1.83,102607.4443264
6334,1.77,12192.08391,1.78,57297.2571798
8748,1.51,10097.536100000001,1.66,50166.462126
14360,1.91,1702.60265,2.39,34902.0256335
3578,3.98,26855.300740000002,2.53,135894.9523522
16791,4.82,26038.387100000004,2.97,210343.40388700002
26697,4.86,40874.92308,2.54,315319.57078320003
6934,3.03,20463.67464,1.6,94679.248704
2032,4.56,28762.54656,1.85,120001.72425599999
11303,1.5,12169.585500000001,2.44,70987.45962000001
19364,1.66,12583.59182,2.04,82981.9509528
14768,4.88,15026.22272,1.59,126011.9795648
14259,4.21,24515.80672,2.92,180648.1590624
8247,4.58,24439.18228,1.65,126974.275322
5515,3.82,22892.86654,1.66,104855.1915364
20374,3.13,13696.99268,2.23,121708.89903639999
24555,3.55,22965.35115,1.97,178342.6940655
24253,3.79,31247.13633,1.66,206283.3889678
21523,3.93,25661.15115,2.82,208272.138543
12386,2.37,25063.702740000004,2.53,142893.3934122
18315,3.76,29571.28704,1.9,184192.41945599997
23589,2.76,7434.694799999999,2.48,98413.07270399999
28577,4.66,25041.181040000003,1.66,224819.54260640003
19004,4.4,24182.122800000005,2.03,181071.55488400004
13311,4.56,27378.45888,2.74,190472.0550912
24758,3.83,22493.79682,2.23,189971.9005486
19838,4.79,45018.56113,2.49,297157.35947370005
4198,4.72,31199.2472,1.91,141803.616552
4633,1.77,11681.13978,2.52,60999.1618056
6768,4.8,46613.044799999996,2.55,244575.75383999996
17223,4.42,48024.45362,2.75,304241.814695
20270,4.94,23532.984280000004,2.53,206738.2187884
10296,2.45,13050.89765,1.74,74035.557211
4222,3.51,28169.70858,1.78,121300.7184324
29483,4.58,34745.886040000005,1.77,266024.13037080003
17421,4.76,44747.50812,2.76,295922.09865119995
12622,2.67,18958.23888,2.31,115410.7495728
8321,4.78,26061.262660000004,1.71,136461.66446860004
12100,3.39,12056.20278,2.12,90690.5554536
14237,4.19,15641.466930000002,2.61,131760.19254730002
23161,2.51,16760.635440000002,2.2,128528.77884799999
13915,3.39,19701.452820000002,2.02,126371.6903364
1336,2.3,15706.982899999997,1.69,61031.566900999984
23676,2.17,16714.652850000002,2.31,123417.0737835
12319,1.84,8202.50472,2.47,59332.15609840001
3429,4.87,22859.65338,2.75,125282.58355499999
7807,3.63,23009.37573,2.55,133032.0695715
29947,1.58,6746.675840000001,1.65,71941.626816
12036,3.58,28854.689019999998,1.92,156199.26095839997
2083,4.6,42361.7818,2.88,216307.295184
15398,4.31,6622.306379999999,2.65,97159.10466699999
13055,1.73,6531.90564,2.58,52501.27783120001
13997,2.57,19363.48767,2.27,118654.3823509
25924,4.56,33912.41448,2.28,263358.5739744
11762,2.6,18113.786600000003,1.61,95971.969626
5824,4.89,33705.689309999994,2.62,184199.64461219998
19439,4.48,28931.262080000004,2.36,213227.0226688
4096,1.78,15507.63946,2.29,73818.6532834
5449,4.22,21411.866439999998,2.12,111211.66973279999
17216,2.12,15875.134520000003,1.61,93807.15561720001
25563,1.9,12352.922199999999,1.93,97116.68424599999
4435,3.25,18267.148250000002,2.7,100269.34677500001
19948,3.69,26693.18325,1.79,174775.2845175
21771,2.85,23642.120850000003,2.67,172456.05436950002
22591,1.74,12443.397719999999,2.73,98165.6112156
15241,3.81,30673.18986,2.76,204072.5937336
2504,4.58,34502.706360000004,1.86,144648.7665496
5458,2.04,11896.341600000002,2.32,62526.51571200001
25056,4.32,24638.51088,2.43,217390.5231984
18668,4.63,24779.87575,2.74,203889.451055
3230,2.12,21338.058640000003,1.95,91132.931628
7282,2.15,-759.99705,2.2,12464.31239
23492,4.72,18854.56392,2.33,192522.5017736
25656,4.62,40121.2119,1.9,275003.44641
7632,1.77,12275.957129999999,2.25,65681.4578025
16667,2.7,9450.094500000001,2.19,84596.795955
29972,4.4,32025.078800000007,2.97,291041.44163600006
4218,3.32,6582.361479999999,1.78,38885.086394399994
4265,3.48,25429.073399999997,2.51,129527.321034
2145,4.2,11146.9722,2.48,58947.435456
29618,2.13,5673.83223,2.09,86292.3138207
11517,3.7,24034.0937,2.15,142354.388855
24424,2.57,18881.258009999998,1.85,135462.5233385
19495,3.03,23360.30616,1.79,147605.4103464
12359,4.61,28817.41426,1.66,162446.7261916
12602,3.96,19820.78208,2.16,132358.3734528
11629,1.76,11804.84624,1.96,67214.2311104
9681,2.13,17674.882709999998,2.59,101748.24163889998
6028,3.99,26794.01508,2.93,156146.2143444
6919,2.71,2735.92115,2.44,30897.979905999997
8062,2.76,23243.900279999998,2.57,128475.74427959998
5776,3.63,22947.77463,2.1,115052.755983
3401,4.65,40230.702600000004,2.37,191622.82036200003
11668,2.84,19690.228359999997,2.04,112685.64257439997
23914,3.39,22949.38809,1.72,166440.1836948
3186,1.93,11825.14088,1.55,48128.230124
8129,3.37,26346.184830000002,2.22,138575.62998260002
